"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"C","ctrl",194,52.4766666666667,0,0.86832,0.1557,1.89108,0.15522,2.9151,1.04082,0,"flooding"
"C","ctrl",194,42.5425,0,0.96534,0.17124,1.56006,0.1536,2.69664,0.62784,0,"flooding"
"C","ctrl",194,43.68,0,1.00098,0.14346,1.78656,0.09012,2.931,0.4842,0,"flooding"
"C","ctrl",194,26.2383333333333,0,0.88806,0.28566,1.48104,0.24102,2.65476,1.57002,0,"flooding"
"C","ctrl",194,42.3908333333333,0,0.83556,0.18588,1.4415,0.24798,2.46294,0.94254,0,"flooding"
"C","ctrl",194,43.5283333333333,0,0.71196,0.04758,1.10868,0.15126,1.86822,0.5637,0,"flooding"
"C","ctrl",194,59.0741666666667,0,0.74028,0.2493,2.05044,0.20022,3.04002,1.20186,0,"flooding"
"C","ctrl",194,34.7316666666667,0,0.6915,0.12648,1.13994,0.20214,1.95792,0.65664,0,"flooding"
"C","ctrl",194,35.2625,0,0.89124,0.08436,1.35564,0.25002,2.33124,0.81234,0,"flooding"
"D","ctrl",194,43.9075,0,0.88302,0.0105,1.18164,0.19656,2.07516,0.3846,0,"flooding"
"D","ctrl",194,43.6041666666667,0,1.40436,0.00636,1.3014,0.32436,2.71212,0.67392,0,"flooding"
